start_node,end_node,length,bikes per hour,cars per hour
366398306,2091954845,15939.0,3951.0,433.0
366398306,1757008359,6205.0,826.0,68.0
366398306,1833407692,9795.0,799.0,62.0
366398306,5767156750,10612.0,3527.0,329.0
366398306,4609087192,9547.0,826.0,68.0
366398306,3342113628,25341.0,799.0,62.0
366398306,1769173809,6267.0,3527.0,329.0
366398306,4944096827,1465.0,3348.0,1474.0
366398306,1497312730,11762.0,1844.0,156.0
366398306,411926632,7835.0,3951.0,426.0
366398306,5738097219,10298.0,3527.0,329.0
366398306,4640689702,7343.0,3951.0,433.0
366398306,5893932269,18447.0,3951.0,433.0
366398306,925126918,7331.0,3527.0,329.0
366398306,2469697625,7958.0,1269.0,112.0
366398306,411918528,8876.0,3527.0,329.0
366398306,2079964847,13249.0,2445.0,329.0
366398306,2028465941,9859.0,3527.0,329.0
366398306,366464065,22687.0,2007.0,182.0
366398306,3110867005,20903.0,799.0,62.0
366398306,5740162446,13488.0,799.0,62.0
366398306,5307221672,6743.0,2445.0,329.0
366398306,411925946,8299.0,2703.0,329.0
366398306,3285275354,9695.0,3527.0,329.0
366398306,411926606,9147.0,3527.0,329.0
366398306,729523405,11008.0,3527.0,329.0
366398306,4875814748,11095.0,3951.0,433.0
366398306,5762755207,13564.0,3527.0,216.0
366401737,4068017784,15987.0,1146.0,160.0
366401737,3116773942,16286.0,1146.0,160.0
366401737,2353073491,8750.0,2187.0,225.0
366401737,2212446493,13489.0,360.0,28.0
366401737,366439908,4953.0,541.0,65.0
366401737,3887838914,1876.0,360.0,28.0
366401737,366460317,3788.0,360.0,28.0
366401737,3385404221,12927.0,377.0,40.0
366401737,5733301047,5324.0,4759.0,309.0
366401737,2021899492,4798.0,696.0,69.0
366401737,5762619761,9563.0,2187.0,225.0
366401737,5716917501,8144.0,2187.0,225.0
366401737,5006654050,8442.0,360.0,28.0
366401737,4202267655,6337.0,360.0,28.0
366401737,366450290,6101.0,3504.0,346.0
366401737,5767341919,10578.0,2187.0,225.0
366401737,2084677921,5156.0,6642.0,637.0
366401737,5763293916,3922.0,2187.0,371.0
366401737,3758592340,2476.0,2187.0,371.0
366401737,5783301728,9306.0,4676.0,462.0
366401737,5806378066,15842.0,4676.0,462.0
366401737,366464950,6660.0,3504.0,346.0
366401737,1835411287,11828.0,377.0,40.0
366401737,1497312735,8362.0,3645.0,384.0
